transcript_id,SRR17163539,SRR17163540,SRR17163541,SRR17163542,SRR17163543,SRR17163544,SRR17163545,SRR17163546,SRR17163547,SRR17163548,SRR17163549,SRR17163550
mRNA:Solyc00g500023.1.1,23,36,53,9,35,57,31,0,38,42,32,29
mRNA:Solyc00g500022.1.1,40,22,25,14,23,9,23,12,34,34,19,28
mRNA:Solyc00g180440.2.1,4,0,9,5,0,1,3,7,6,13,0,17
mRNA:Solyc00g500020.1.1,10,4,4,10,13,11,3,19,22,18,0,9
mRNA:Solyc00g500021.1.1,237,198,152,121,241,195,169,219,170,196,186,198
mRNA:Solyc00g500028.1.1,10,0,6,0,4,0,0,0,11,5,0,0
mRNA:Solyc00g500026.1.1,0,0,0,0,0,0,0,0,0,1,1,2
mRNA:Solyc00g500024.1.1,26,33,30,19,69,31,36,30,47,81,18,33
mRNA:Solyc00g500025.1.1,4,9,4,0,3,3,8,0,8,1,0,3
mRNA:Solyc00g500036.1.1,44,94,70,46,42,13,20,50,37,40,34,58
mRNA:Solyc00g500038.1.1,5,4,0,0,0,0,0,0,0,0,0,0
mRNA:Solyc00g500029.1.1,0,0,6,16,6,0,0,0,4,3,0,7
mRNA:Solyc00g500030.1.1,7,0,1,23,8,2,5,1,4,2,7,2
mRNA:Solyc00g500031.1.1,38,13,15,20,16,20,0,9,17,18,17,24
mRNA:Solyc00g500032.1.1,20,37,17,23,21,28,25,4,22,25,24,10
mRNA:Solyc00g500033.1.1,14,11,8,19,7,10,15,17,13,15,9,25
mRNA:Solyc00g500034.1.1,21,9,26,8,23,14,17,17,14,7,6,8
mRNA:Solyc00g500035.1.1,22,73,57,33,13,17,26,19,31,22,17,28
mRNA:Solyc00g500003.1.1,88,186,90,181,13,6,15,9,132,88,5,11
mRNA:Solyc00g500037.1.1,8,0,12,7,4,11,7,0,5,8,4,4
mRNA:Solyc00g500039.1.1,243,256,281,133,213,126,106,172,213,278,91,156
mRNA:Solyc00g500040.1.1,0,0,0,0,0,0,0,0,3,0,0,0
mRNA:Solyc00g160280.1.1,6,2,0,4,18,6,12,11,9,6,0,0
mRNA:Solyc00g500041.1.1,6,12,10,6,15,15,3,18,13,21,6,9
mRNA:Solyc00g500042.2.1,19,14,0,10,15,8,4,4,8,13,0,0
mRNA:Solyc00g500043.1.1,6,0,10,3,8,8,0,0,0,0,0,0
mRNA:Solyc00g500044.1.1,262,279,277,93,153,122,132,183,250,250,88,191
mRNA:Solyc00g500046.1.1,12,4,11,7,16,5,3,3,3,30,5,3
mRNA:Solyc00g500047.1.1,64,145,98,128,67,39,55,58,79,56,56,67
mRNA:Solyc00g277510.2.1,109,43,77,32,56,299,48,41,70,318,46,65
mRNA:Solyc00g500048.1.1,16,11,7,4,11,8,17,5,10,17,0,18
mRNA:Solyc00g500049.1.1,10,16,11,6,11,7,9,8,9,7,8,7
mRNA:Solyc00g500050.1.1,42,63,49,75,38,9,10,43,26,33,0,59
mRNA:Solyc00g500051.1.1,10,11,20,3,21,14,19,23,4,5,9,25
mRNA:Solyc00g500052.1.1,6,0,9,0,8,11,14,9,0,15,4,8
mRNA:Solyc00g500054.1.1,105,41,101,66,186,632,80,64,75,567,83,77
mRNA:Solyc00g500058.1.1,8,13,5,4,7,0,7,9,12,0,7,7
mRNA:Solyc00g500061.1.1,2,2,0,3,10,8,5,2,8,11,7,12
mRNA:Solyc00g500062.1.1,12,3,2,11,32,29,16,16,5,14,24,12
mRNA:Solyc00g500055.1.1,5,4,3,0,6,9,0,0,6,13,0,1
mRNA:Solyc00g500056.1.1,26,22,39,11,60,69,18,14,32,55,37,51
